study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB9586	SAMEA3302764	ERX1418110	ERR1347663	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1347663/ERR1347663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1347663/ERR1347663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347663/LP6005442-DNA_F12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347663/LP6005442-DNA_F12_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1347663	
PRJEB9586	SAMEA3302615	ERX1418111	ERR1347664	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1347664/ERR1347664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1347664/ERR1347664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347664/LP6005442-DNA_G01_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347664/LP6005442-DNA_G01_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1347664	
PRJEB9586	SAMEA3302679	ERX1418113	ERR1347666	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1347666/ERR1347666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1347666/ERR1347666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347666/LP6005442-DNA_G03_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347666/LP6005442-DNA_G03_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1347666	
PRJEB9586	SAMEA3302843	ERX1418114	ERR1347667	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1347667/ERR1347667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1347667/ERR1347667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347667/LP6005442-DNA_G04_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347667/LP6005442-DNA_G04_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1347667	
PRJEB9586	SAMEA3302741	ERX1418116	ERR1347669	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1347669/ERR1347669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1347669/ERR1347669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347669/LP6005442-DNA_G09_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347669/LP6005442-DNA_G09_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1347669	
PRJEB9586	SAMEA3302862	ERX1418126	ERR1347679	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1347679/ERR1347679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1347679/ERR1347679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347679/LP6005442-DNA_H12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347679/LP6005442-DNA_H12_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1347679	
PRJEB9586	SAMEA3302737	ERX1418127	ERR1347680	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1347680/ERR1347680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1347680/ERR1347680_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347680/LP6005443-DNA_A01_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347680/LP6005443-DNA_A01_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1347680	
PRJEB9586	SAMEA3302878	ERX1418128	ERR1347681	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1347681/ERR1347681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1347681/ERR1347681_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347681/LP6005443-DNA_A02_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347681/LP6005443-DNA_A02_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1347681	
PRJEB9586	SAMEA3302763	ERX1418130	ERR1347683	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1347683/ERR1347683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1347683/ERR1347683_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347683/LP6005443-DNA_A06_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347683/LP6005443-DNA_A06_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1347683	
PRJEB9586	SAMEA3302663	ERX1418131	ERR1347684	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1347684/ERR1347684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1347684/ERR1347684_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347684/LP6005443-DNA_A07_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347684/LP6005443-DNA_A07_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1347684	
PRJEB9586	SAMEA3302726	ERX1418132	ERR1347685	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1347685/ERR1347685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1347685/ERR1347685_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347685/LP6005443-DNA_A08_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347685/LP6005443-DNA_A08_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1347685	
PRJEB9586	SAMEA3302744	ERX1418133	ERR1347686	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1347686/ERR1347686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1347686/ERR1347686_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347686/LP6005443-DNA_A12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347686/LP6005443-DNA_A12_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1347686	
PRJEB9586	SAMEA3302670	ERX1418136	ERR1347689	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1347689/ERR1347689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1347689/ERR1347689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347689/LP6005443-DNA_B03_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347689/LP6005443-DNA_B03_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1347689	
PRJEB9586	SAMEA3302720	ERX1418137	ERR1347690	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1347690/ERR1347690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1347690/ERR1347690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347690/LP6005443-DNA_B04_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347690/LP6005443-DNA_B04_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1347690	
PRJEB9586	SAMEA3302859	ERX1418138	ERR1347691	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1347691/ERR1347691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1347691/ERR1347691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347691/LP6005443-DNA_B06_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347691/LP6005443-DNA_B06_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1347691	
PRJEB9586	SAMEA3302772	ERX1418140	ERR1347693	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1347693/ERR1347693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1347693/ERR1347693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347693/LP6005443-DNA_B08_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347693/LP6005443-DNA_B08_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1347693	
PRJEB9586	SAMEA3302792	ERX1418141	ERR1347694	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1347694/ERR1347694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1347694/ERR1347694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347694/LP6005443-DNA_B09_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347694/LP6005443-DNA_B09_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1347694	
PRJEB9586	SAMEA3302891	ERX1418147	ERR1347700	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1347700/ERR1347700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1347700/ERR1347700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347700/LP6005443-DNA_C06_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347700/LP6005443-DNA_C06_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1347700	
PRJEB9586	SAMEA3302671	ERX1418149	ERR1347702	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1347702/ERR1347702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1347702/ERR1347702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347702/LP6005443-DNA_C08_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347702/LP6005443-DNA_C08_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1347702	
PRJEB9586	SAMEA3302889	ERX1418155	ERR1347708	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1347708/ERR1347708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1347708/ERR1347708_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347708/LP6005443-DNA_D05_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347708/LP6005443-DNA_D05_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1347708	
PRJEB9586	SAMEA3302853	ERX1418162	ERR1347715	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1347715/ERR1347715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1347715/ERR1347715_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347715/LP6005443-DNA_E05_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347715/LP6005443-DNA_E05_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1347715	
PRJEB9586	SAMEA3302687	ERX1418163	ERR1347716	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1347716/ERR1347716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1347716/ERR1347716_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347716/LP6005443-DNA_E06_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347716/LP6005443-DNA_E06_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1347716	
PRJEB9586	SAMEA3302626	ERX1418164	ERR1347717	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1347717/ERR1347717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1347717/ERR1347717_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347717/LP6005443-DNA_E07_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347717/LP6005443-DNA_E07_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1347717	
PRJEB9586	SAMEA3302746	ERX1418165	ERR1347718	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1347718/ERR1347718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1347718/ERR1347718_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347718/LP6005443-DNA_E08_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347718/LP6005443-DNA_E08_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1347718	
PRJEB9586	SAMEA3302796	ERX1418168	ERR1347721	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1347721/ERR1347721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1347721/ERR1347721_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347721/LP6005443-DNA_E11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347721/LP6005443-DNA_E11_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1347721	
PRJEB9586	SAMEA3302849	ERX1418170	ERR1347723	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1347723/ERR1347723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1347723/ERR1347723_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347723/LP6005443-DNA_F02_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347723/LP6005443-DNA_F02_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1347723	
