Sample Name	Site	Country	Extract	Library	Library number	Extract used [µl]	USER enzyme treatment	Library parallel number	Primer concentration [nM each]	PCR Cycles	Sequencing pool (= 1 lane)	Sequencing type and length
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_3	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_4	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_5	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_6	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_7	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_8	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2	SL3	SL3_3	16.25	yes	SL3_3_9	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_10	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_11	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_12	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_13	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_2	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_3	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_4	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_5	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_6	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_7	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_8	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EDTA2_+_SE1_AKT16_2_EXT1 (merged)	SL3	SL3_5	17	yes	SL3_5_9	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_10	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_11	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_12	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_13	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_2	200	11	HiSeq_1_LW	PE. 150 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_3	200	11	HiSeq_1_LW	PE. 150 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_4	200	11	HiSeq_1_LW	PE. 150 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_5	200	11	HiSeq_1_LW	PE. 150 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_6	200	11	HiSeq_1_LW	PE. 150 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_7	200	11	HiSeq_1_LW	PE. 150 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_8	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL1	SL1_1	16.25	yes	SL1_1_9	200	11	HiSeq_2_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_10	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_11	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_12	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_13	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_2	200	11	HiSeq_19_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_3	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_4	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_5	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_6	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_7	200	11	HiSeq_21_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_8	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE1_AKT16_2_EXT1	SL3	SL3_4	16.25	yes	SL3_4_9	200	11	HiSeq_20_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_10	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_11	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_12	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_13	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_2	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_3	200	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_4	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_5	200	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_6	200	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_7	200	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_8	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL5	SL5_6	16.25	yes	SL5_6_9	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_1	200	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_10	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_11	200	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_12	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_13	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_3	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_4	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_5	200	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_6	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_7	200	11	HiSeq_28_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_8	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EDTA2	SL7	SL7_1	16.25	yes	SL7_1_9	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_1	200	13	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_10	160	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_11	160	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_12	160	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_2	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_3	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_4	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_5	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_6	200	11	HiSeq_26_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_8	160	11	HiSeq_27_LW	SE. 100 cycles
AKT16	Aktropraklik	Turkey	SE2_AKT16_2_EXT2	SL5	SL5_8	16.25	yes	SL5_8_9	160	11	HiSeq_27_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_10	200	10	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_11	200	10	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_12	200	10	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_13	200	10	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_2	200	10	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_3	200	10	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_4	200	10	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_5	200	10	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_6	200	10	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_7	200	10	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EDTA2	SL2	SL2_12	16.25	yes	SL2_12_9	200	10	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_10	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_11	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_12	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_13	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_2	200	11	HiSeq_7_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_3	200	11	HiSeq_7_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_4	200	11	HiSeq_7_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_5	200	11	HiSeq_7_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_6	200	11	HiSeq_7_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_7	200	11	HiSeq_7_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_8	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL1	SL1_6	16.25	yes	SL1_6_9	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6	200	11	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_10	200	11	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_11	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_12	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_13	200	11	HiSeq_9_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_2	200	11	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_3	200	11	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_4	200	11	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_5	200	11	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_7	200	11	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_8	200	11	HiSeq_10_LW	SE. 100 cycles
Asp6	Asparn-Schletz	Austria	SE1_Asp6_EXT1	SL3	SL3_6	16.25	yes	SL3_6_9	200	11	HiSeq_10_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_1	200	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_10	160	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_11	160	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_12	160	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_13	160	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_2	160	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_3	160	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_4	160	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_5	160	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_6	160	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_7	160	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_8	160	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EDTA2	SL7	SL7_4	16.25	yes	SL7_4_9	160	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_12	160	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_13	160	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_2	200	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_3	200	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_4	200	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_5	200	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_6	200	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_7	200	12	HiSeq_32_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_8	200	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE2_BAR25_1_EXT1	SL7	SL7_5	16.25	yes	SL7_5_9	200	12	HiSeq_33_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE3_BAR25_1_EDTA1	SL9	SL9_4	16.25	yes	SL9_4_1	200	12	HiSeq_42_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE3_BAR25_1_EDTA1	SL9	SL9_4	16.25	yes	SL9_4_10	200	12	HiSeq_43_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE3_BAR25_1_EDTA1	SL9	SL9_4	16.25	yes	SL9_4_11	200	12	HiSeq_43_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE3_BAR25_1_EDTA1	SL9	SL9_4	16.25	yes	SL9_4_12	200	12	HiSeq_43_LW	SE. 100 cycles
BAR25	Barcın	Turkey	SE3_BAR25_1_EDTA1	SL9	SL9_4	16.25	yes	SL9_4_13	200	12	HiSeq_43_LW	SE. 100 cycles
